title,startYear,runtimeMinutes,genres,averageRating,numVotes,region,language,tconst,decade
Comment Victor Gousse d'ail transportait Alex le Goujon au foyer des handicapés,2017,90,"Crime,Drama",7.1,3775.0,CA,en,tt5837242,2010
Wreck-It Ralph 2,2018,112,"Adventure,Animation,Comedy",7.0,175745.0,US,en,tt5848272,2010
Bullies,2016,77,Drama,7.0,13.0,US,en,tt5847228,2010
Flesh & Blood a Go! Go!,2017,\N,"Drama,Horror",8.9,12.0,US,en,tt5684312,2010
Puppeteer,2016,133,"Drama,Thriller",7.6,14765.0,US,en,tt5713232,2010
Mon propre jardin,2016,76,"Animation,Drama,Fantasy",7.0,1412.0,FR,fr,tt5698496,2010
Unveiled: The Kohistan Video Scandal,2016,85,"Crime,Documentary",7.8,7.0,CA,en,tt5707016,2010
Raman Raghav 2.0,2016,133,"Crime,Drama,Thriller",7.3,15626.0,GB,en,tt5662932,2010
Coffee and Blood,2016,\N,"Comedy,Horror",8.0,16.0,CA,en,tt5655912,2010
Don't Let the Night End,2019,70,"Comedy,Drama,Romance",7.3,78.0,US,en,tt5663804,2010
Ice: The Movie,2018,98,"Drama,Sport",7.1,29.0,US,en,tt5748106,2010
Roobha,2018,91,Drama,7.3,74.0,CA,en,tt5725976,2010
Finding Oscar,2016,100,"Crime,Documentary,Drama",7.3,317.0,CA,en,tt5719232,2010
In Times of Rain,2018,89,Drama,7.0,70.0,GB,en,tt5742032,2010
The Cold Words of the Innocent,2019,93,Drama,8.2,59.0,US,en,tt9668280,2010
Marrying the Family,2016,85,Comedy,7.9,11.0,CA,en,tt5986204,2010
